COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,0.496227459,-1.172008956,-1.817466658,-0.235741166,0.419402924,Warm,Dry
COOP:028468,TEEC NOS POS AZ US,0.65565899,2.278216905,-0.836794874,-0.060550597,-0.873432983,Warm,Dry
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,-0.69950902,-1.181896838,-1.692804991,-0.235438402,0.558791855,Cold,Dry
COOP:166664,NEW ORLEANS AUDUBON LA US,0.416511694,-1.174588404,-1.950439103,-0.238817139,0.551172839,Warm,Dry
COOP:144665,LEOTI 1 SE KS US,0.097648633,0.982259537,-1.23571221,-0.020957294,-0.29304275,Average,Dry
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,-0.141498663,-1.185121147,-2.224694772,-0.236865715,0.542088627,Average,Dry
COOP:144695,LIBERAL KS US,-0.061782898,0.669071631,-1.135982876,-0.058034353,-0.26025994,Average,Dry
COOP:345855,MIAMI OK US,-0.858940551,-0.6602036,-1.834088214,-0.061568288,0.194033316,Cold,Dry
COOP:137594,SHELDON IA US,-0.300930194,-0.257379897,-1.717737324,0.098654577,0.121186801,Average,Dry
COOP:253735,HEBRON NE US,-0.221214428,-0.218043324,-0.828484096,0.022180121,-0.00935836,Average,Dry
COOP:301309,CENTERPORT NY US,-0.619793255,-1.168139785,-1.360373877,0.040213621,1.810339305,Cold,Dry
COOP:418924,TERLINGUA TX US,0.894806286,0.537304859,-0.712133207,-0.253270908,-0.460548407,Warm,Dry
COOP:665693,MAGUEYES ISLAND US,0.416511694,-1.179747299,-3.396514446,-0.542710112,2.285671265,Warm,Dry
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,0.177364398,-1.179747299,-0.73706554,0.077786805,1.98778575,Average,Dry
COOP:461579,CHARLESTON WSFO WV US,2.090542765,-0.586259441,-0.894970319,-0.025173083,1.183205578,Very Warm,Dry
COOP:081978,CRESCENT CITY FL US,1.054237817,-1.152878055,-1.584764879,-0.251324572,1.19842107,Warm,Dry
COOP:035018,MOUNTAINBURG 2 NE AR US,-1.416950908,-0.668156896,-0.845105652,-0.092961539,0.248824113,Cold,Dry
COOP:411761,CLARENDON TX US,0.017932868,0.640267801,-2.133276216,-0.110974685,-0.258997617,Average,Dry
COOP:356820,POWERS OR US,0.177364398,-1.037017875,-2.673476775,0.091220338,-1.99891351,Average,Dry
COOP:042012,CORCORAN IRRIG DIST CA US,2.807984653,-1.056578685,-0.811862541,-0.081560845,-1.661760756,Very Warm,Dry
COOP:252680,ELSMERE NE US,0.65565899,0.551061912,-1.277266099,0.072980755,-0.191222933,Warm,Dry
COOP:167738,RED RIVER RESEARCH STATION LA US,-0.540077489,-1.08624233,-1.559832545,-0.175076552,0.287602954,Average,Dry
COOP:247342,SAND CREEK MT US,-0.061782898,0.718940947,-1.177536765,0.210516725,-0.846172833,Average,Dry
COOP:020159,ALPINE AZ US,0.177364398,4.086409538,-0.786930207,-0.138762762,-0.877708348,Average,Dry
